ALABAMA	Birmingham	Very affordable, no traffic, easy parking, lots of green space, great food with some nationally-acclaimed restaurants (and can afford to go on resident's salary). Hiking within 15min of the hospital and tons more options within an hour's drive. Small town friendliness with mid-sized city amenities. < Many larger cities within easy driving distance (Atlanta, New Orleans, Nashville) and beaches in S Alabama/FL panhandle	Church and college football can play an oversized role in city life. Still can feel very segregated. Local and state politics filled with corruption. High monthly water bills due to aforementioned corruption. The worest roads of any city, seriously had a tire bust from going 40 and hitting a pot hole.	They're trying to improve it, but not great. Definitely need a car+2	Hot and humid summers. Mild winters. Snow is rare. Tornadoes are a thing.	Most people are married by 25 and arent interested in dating anyone more distant than a fourth cousin. Pretty religious down here. << this is absurd. people in birmingham aren't incestuous. It feels like there's someone here with a thing against bham	Not great; improving though+1	meh<< Very diverse in the city, less so in rural areas <<sure its better than other parts of alabama...but no way in hell would i call it "very diverse" << do you actually live in Birmingham proper??	its weird because there are less people in birmingham I feel unsafe around compared to other cities...but for the people feel unsafe around..I feel 100x less safe around them compared to your typical urban bozo. These people are legit crazy. Will follow you relentlessly or point a gun/knife at you. Fucking terrifying. Not just birmingham but Alabama as a whole << I have lived here 20 years, never had a single person follow me with a gun/knife, however Birmingham is consistently listed as one of the most murderous cities in the country
UTAH	Salt Lake City	any input on SLC? specifically, socially if I am not super outdoorsy, a more liberal person, not LDS, don't love super cold winter, and the dating scene... SLC is beautiful and a really comfortable and easy place to live. Its not like some huge city, but it has the regular bars, restaurants, and breweries that are good. The main attraction is the outdoors, its unbeatable how close you are the mountains. you can get off work and go on a hike (like a real mountain hike) or go skiing or climbing or biking. You can find your niche here that is non-LDS. I will say most people here are pretty outdoorsy. SLC is pretty liberal, it gets more conservative/religious the further out of SLC you go. Winters aren't very cold, its like 30-40s wtih several snow storms, but they city responds to the snow well and is up and running pretty quick. Having 4 wheel drive is helpful though. CoL is increasing as more people move here. Tons of nice apartments being built, but you can find cheaper places to live like renting houses. you can easily live within 10-15 mins to hospital. parking can be hard and you have to pay for a pass. if you get there before 7 you can safely find a spot though. low crime compared to other cities, people are friendly. lot of good dog walking spots.	The LDS church has a lot of control over the state, specifially in politics and regulations, for example weird liquor laws. Also the republicants have gerrymandered this state like crazy. Diversity is improving, but still not like other cities. < I have personally experienced a lot of racism and discrimination in Salt Lake. This hopefully is not the experience for everyone, but this is something to be aware of.	trax that runs through salt lake and you get it free with your card. for getting places other than the hospital, you need a car	all 4 seasons, summers can get hot up to 100. spring and fall are beautiful. winters aren't too bad, 30-40s and snow is pretty. warning: in the winter there is the inversion which can make the air quality poor and city looks ugly and smoggy. dry heat and dry winters help make it not so bad	meh, not great but not horrible. lot of people here are married and LDS get married young so lot of people "settled down" Does anyone have any additional thoughts on this? Not much to add to what has already been said	friendly, most bars/restaurants have pride flags up. Theres drag brunch thats fun. pride parade in june is super fun downtown. a few queer bars	mainly white, hispanic, and pacific islanders.	
VERMONT	Burlington	Incredible year-round outdoor activities. Lake Champlain for swimming, so much good hiking nearby, some of the best East Coast skiing within 1 hour drive. Lots of local breweries. Some of the best pho in the country. Pretty much no traffic. Walkable downtown area. Near Montreal and Boston. BTV Airport has no line ever and is very closeby and relaxing.	Gets cold in the winter. Snow tires are pretty necessary from end of November to March if you need to drive when it snows. Not very ethnically/racially diverse, although becoming more so. Rent can be expensive downtown (~1k+ for 1bedroom). Plenty of elitist liberal vibes.	Bus system but limited.		any insight? Probably not as much as a large metro area, but it's more or less a big college town with bars, breweries, clubs if that helps. Small yuppie population but it exists. > it's pretty darn yuppie. Even the crunchier outdoorsy people have yuppy vibes in my opinion. >>yuppy as fuck. i dont recommend	Very friendly! << can anyone comment on things to do, local bars/businesses, dating scene, etc??	NONE	
VIRGINIA	Charlottesville	Grew up here, went to UVA, and live in Richmond now. Charlottesville is a great small town - very local feel. Lots of students around with undergrad, grad, Law, Business and Med School. City as a whole is pretty liberal. 3.5 hrs to VA beach, 2 hrs to DC, <30 minutes to mountains. Great restaurants, big names for live music come to JPJ, lots of hiking and big brewery and vineyard scene. Also if you're looking to start a family, this is a good spot too - school systems are really good. And if you're single, definitely more young people over last 10 years.    Nice local places to live: Downtown and Bellmont area	Sometimes a bunch of guys in polos get tiki torches and start a riot <-- LMAO	Have to drive most places, but there is a bus system that's pretty easy to get around on. Also a trolley around grounds to downtown.	Hot and humid summers, mild winters, legit snow only a few times per year in Jan-Mar.	Poor. Many residents married/with families. Dating options limited outside the hospital and the university.	Friendly, lots of well-known LGBT-owned businesses.	Best for the outdoorsy people! Great weather, beautiful scenery. Safe place.	
VIRGINIA	Fisherville	Fishserville itself does not have a lot to it, but the surroudning communities in Augusta County, particuarly Staunton have a good amount to offer. You're also under 2 hours from NOVA/ DC, 30 minutes from Charlottesville, and 1.5ish from Richmond. You have easy access to Shenandoah National Park to the east and George Washingotn Forrest to the west which have great trail and backcountry hiking. Local brewery and winery scene is actually decent given the location. Very cheap, QoL.	It is rural, nightlife is limited if thats your thing.	None.	4 seasons, winters and summers are mild, much less humid than the rest of VA east of the mountains.	Not going to be great. , I live 30 minutes from Augusta health and the dating scene is horrible given it's kinda in the middle of nowhere, Charlottesville is a city-ish place closer but the dating scene is still limited	Staunton is very LBGTQ friendly and you're close to Charlottesville which is as well. Otherwise it is a rural and red county for the most part, but people are generally accepting.	There is a large immigrant community, but is otherwise very white	
VIRGINIA	Richmond	Small-Medium size city, very artsy since VCU and Brand Center are there. Good restaurant scene, underground music, and festivals. City is pretty liberal and diverse. Very outdoorsy - Kayak/Fish on James River, Party on Belle Isle or Browns Island, 1.5 hrs to mountains, 1 hour to beach, 1.5 hrs to DC. Not much 'clubbing' night lift, but good beer scene. Very laid back and chill place to live overall.    Great place for families or singles - fairly young city, but mixed with legacy families. Affordable cost of living. Very residential, lots of mixed residential/business living areas which makes for ecclentic neighborhoods    Best places to live: The Fan, Church Hill (close to hospital), Shockoe Bottom (close to hospital, lots of loft apartments) Northside, Manchester (up and coming)	Smaller city - airport is decent and can get you anywhere - direct flights to NYC, ATL, Denver, Chicago, Miami. Most west coast are all 1 stops.	Bus system is ok. Can get you most places in the city. best to have a car.    Certain places you can walk to the hospital or within city depending on your neighborhood (and if you like hills)	Fall is beautiful - 50s    Winter is tolerable - 30s/40s (snow maybe once a yr)    Spring is milld, but short - 60s/70s    Summer is hote and humid - 80s/90s	Big enough city that there are lots of fish in the sea, but small enough that I saw a number of my med school classmates on Hinge <<whats wrong with seeing your classmates on hinge..?		Almost 50% Black in city, 50% white in city. City is pretty liberal. Surrounding surburbs skew more white (and more conservative)	
VIRGINIA	Roanoke	Close to a lot of beautiful nature (lakes, right by the blue ridge parkway, mountains, close to shanendoah), has atleast one of everything (except Trader Joes, costco), very affordible, plenty of events happening all year round, sports teams (minor league baseball, railyard dawgs), lots of open green space, rapidly growing city, and of course the star	A lot of urban decay; not a very young or happening city, very quiet<--The city isn't super young but there is quite a large crowd of younger people (from the hospital, virginia tech, grad students, etc)	Basically does not exist but city is drivable and mostly free parking everywhere	All four seasons, can get quite hot and humid in the summer, snow rare and usually only lasts a day or two but will shut down the city	3/10	some but limited, this is improving	not a very diverse city	
WASHINGTON	Seattle	Proximity to nature, Summer is AMAZING. Truly beautiful place to live. Very LGBT friendly. Good music scene. Progressive. < skiing, beach, mountains, lakes, climbing all within 45 mins of downtown seattle. < awesome food scene, lots of things to do. total rainfall is actually less than NYC, but there are a lot of days where it drizzles in the winter. extremely low violent crime (not even in top 50 of major US cities).	High COL, dark all the time in the winter, traffic, Has the country of CHAZ (basically a bunch of homeless people and liberals who think doctors should only make 80k a year). < lol this person doesn't know what they are talking about and clearly watching too much Fox news +10 < broken clock is right twice a day...	Decent in the city but not great outside of the city, may end up stuck in traffic <— understatement of the year. I'm a resident in Seattle without a car- it's very doable in case anyone is wondering that>>I second that! Public transport is great here compared to other big cities< also am a resident here, moved from the south. public transport here is some of the best in this nation (definitely best on the west coast).	Summers are really great, winters are gloomy but don't get that cold  It's pretty much gray from October - May< Would add that alothough summers are mostly beautirful and moderate in temp, we usually get 1-2 weeks of >90 temps, and AC in Seattle apartments is super rare. Those have been some of my hardest weeks living here.	Decent, fair amount of "tech bros'; Seattle freeze is real +1 < seattle freeze may be real but you will be friends with your residency class so moving here for residency isn't a big deal	Excellent ; As good as it gets, tbh (Except maybe Portland?)	B-. City is getting gentrified thanks to tech/Bezos. < Seattle is 20% asian and it shows in the food scene :)	
WISCONSIN	La Crosse	One of the most beautiful cities in WI. There is hiking in the bluff, small streams for fishing, plenty of trails, and the Mississippi River. Oktoberfest is one of a kind.		Transportation is good for the size of the city.	Summers get hot and winters get cold. Typical Wisconsin weather	Good but not the best. Mostly college students.			
WISCONSIN	Lebanon	Lots of outdoor things to do. Skiing, hiking, paddle boarding. Super nice community. Great produce. >> go there if you like any of these aforementioned activities only>> "Produce" is definitiely in my list of hobbies so hoping to get some love.	Super white, lacks diversity and March/April is a grim month with snow and cold weather>> agreed, the diversity is so lacking and it is really difficult to bring up issues with admin, they like to use a complexity score from Medicare to say they are on par with other New England health systems but that is just simply not the case <- Dartmouth is a HUGE catchment zone for Maine/NH. Yeah, they may not have many black people, but there is diversity of medical care. I don't think that a lack of "minority patients" is a deal-breaker < i think for a lot of minorities, constantly being a "token" or the only minority person in their program or living in an area where there are hardly any other minorities is mentally exhausting after awhile. <-- My non-white friend at Dartmouth-Hitchcock says it's a headache with the rural white patients and racist nurses. << yeah beyond catchment area though like serious medical issues and second looks go to Boston<-- Obviously can't argue with it not being ethnically diverse but socioeconomically its extremely diverse and there is a ton of medical diversity, anyone implying that seriously sick patients and second looks go to boston has absolutely no idea what they are talking about. <<Im a resident here at Dartmouth the medical complexity is super high. we see some crazy stuff here and the patients can be super complicated. I see rare stuff you only really see in textbooks on almost a weekly basis depending on what rotation im on. Also see balance if bread and butter. Youll be trained well here. Political stability of Lebanon is currently at an all-time low due to vacant presidency for 15 months, deep economic/social crisis, and sectarian divisions/external meddling from regional powers like Iran and Saudi arabia.	Relatively non-existent>> a bus is available that operates infrequently. there are 2 uber/lyft drivers	Snowy, cold, ski weather>> Fall is an experience though so there's that	Rough-Though tinder is great>> definiitely not great, lots of people you match with are from Boston/Burlington, there is a law school somewhat nearby in Vermont but otherwise just come here with an SO	People who are here are great, but small dating pool>> small meaning non-existent. LGBTQ scene is really pulseless here.	Not diverse. All the diversity comes from the student population at Dartmouth	
WISCONSIN	Madison	Tons of outdoors things, lots of bars, college atmosphere when you want it but you can also go to other neighborhoods where it'll be fun yet mroe adult. Suprising food scene given size. V friendly people +1 >> lake life is a plus, great downtown farmer's market, live music around the capitol in the summer, overall many summer events	Smaller city. Very very white. Only walkable near campus, downtown/around the capital, and into the Willy St. area. Otherwise you will definitely need a car.	Students (and I believe residents) get free access to the bus system. Still best to have a car, particularly if you have rotations at The American Center or Meriter.	Mid November to April is miserably cold, very windy as well. It snows, but not as much as places that deal with lake effect such as Cleveland and western NY. Summers are nice, warm but not too humid. >> As someone who went to college in NY, I would say the winters are just as miserable in Madison, especially when you're driving around in all the snow. Definitely would invest in a hefty parka	Not great. Many people get married young in the midwest. Dating options limited to the hospital, university, and the large population of transplants working at Epic.	small scene with just a couple bars. Overall v supportive incl gay mayor, gay senator. UW initiating first LGBTQ fellowship. Less opportunity for connection with other LGBTQ POC		
WISCONSIN	Milwaukee	ANYONE? please +1 current intern: LOVE it. so many great neighborhoods and restaurants and super reasonable cost of living. people are nice and it's easy to get around. right on the lake and tons of stuff to do. winters are tough and cold but summers are GORGEOUS.    Hi, did undergrad in MKE: surprisingly good food scene. Tons of things to do in the summer, including Summerfest (biggest music festival in the USA). Winters are cold and windy, no lie there. Summer/spring/fall much better, great weather. Great sports teams (brewers, bucks), good for night life, lots of breweries. Lake Michigan is gorgeous and gets warm in the summer beaching. Good cost of living for sure. Lots of concerts to go to, the Rave has reasonable tickets. Close to chicago for weekend trips.	definitely a mix of red/blue politically speaking. some pockets not as safe but still not bad. always compared to Chicago	basically non-existent. you need a car	summer is GLORIOUS and you can get to the lakefront really easily and do boat tours down the river for a bunch of different breweries (pre-covid)	Pretty good, lot of people on the dating apps here, lot of 'professional' people to date. Dating apps skew pretty heavily white though	Smaller community but theres a couple neighborhoods with gay bars and clubs. Overall the vibe is very supportive. Hadn't had issues out with BF personally >> There is a lesbian bar! (one of few left in the country)	very white but still good pockets of diversity, especially downtown -> Not sure where this person is getting their information, Milwaukee is 39.9% white, 39.4% black, and 19.9% Hispanic. Less white when compared to Chicago (45.3% white) [source: cencus.gov] Bad for Black People: https://www.blackexcellence.com/worst-cities-for-blacks-in-america-in-2023/	Can be a lot, especially if you live downtown rather than in one of the surrounding suburbs. Even then theft is still possible. Look up local and up to date crime statistics when deciding where to move to if you wind up here, as some neighborhoods are pretty rough.
